city,city_ascii,state_id,state_name,county_name,lat,lng,"city_ascii, state_id"
New York,New York,NY,New York,Queens,40.6943,-73.9249,"New York, NY"
Los Angeles,Los Angeles,CA,California,Los Angeles,34.1141,-118.4068,"Los Angeles, CA"
Chicago,Chicago,IL,Illinois,Cook,41.8375,-87.6866,"Chicago, IL"
Miami,Miami,FL,Florida,Miami-Dade,25.784,-80.2101,"Miami, FL"
Houston,Houston,TX,Texas,Harris,29.786,-95.3885,"Houston, TX"
Dallas,Dallas,TX,Texas,Dallas,32.7935,-96.7667,"Dallas, TX"
Philadelphia,Philadelphia,PA,Pennsylvania,Philadelphia,40.0077,-75.1339,"Philadelphia, PA"
Atlanta,Atlanta,GA,Georgia,Fulton,33.7628,-84.422,"Atlanta, GA"
Washington,Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163,"Washington, DC"
Boston,Boston,MA,Massachusetts,Suffolk,42.3188,-71.0852,"Boston, MA"
Phoenix,Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0892,"Phoenix, AZ"
Detroit,Detroit,MI,Michigan,Wayne,42.3834,-83.1024,"Detroit, MI"
Seattle,Seattle,WA,Washington,King,47.6211,-122.3244,"Seattle, WA"
San Francisco,San Francisco,CA,California,San Francisco,37.7558,-122.4449,"San Francisco, CA"
San Diego,San Diego,CA,California,San Diego,32.8313,-117.1222,"San Diego, CA"
Minneapolis,Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678,"Minneapolis, MN"
Tampa,Tampa,FL,Florida,Hillsborough,27.9945,-82.4447,"Tampa, FL"
Brooklyn,Brooklyn,NY,New York,Kings,40.6501,-73.9496,"Brooklyn, NY"
Denver,Denver,CO,Colorado,Denver,39.762,-104.8758,"Denver, CO"
Queens,Queens,NY,New York,Queens,40.7498,-73.7976,"Queens, NY"
Riverside,Riverside,CA,California,Riverside,33.9381,-117.3949,"Riverside, CA"
Las Vegas,Las Vegas,NV,Nevada,Clark,36.2333,-115.2654,"Las Vegas, NV"
Baltimore,Baltimore,MD,Maryland,Baltimore,39.3051,-76.6144,"Baltimore, MD"
St. Louis,St. Louis,MO,Missouri,St. Louis,38.6359,-90.2451,"St. Louis, MO"
Portland,Portland,OR,Oregon,Multnomah,45.5371,-122.65,"Portland, OR"
San Antonio,San Antonio,TX,Texas,Bexar,29.4632,-98.5238,"San Antonio, TX"
Sacramento,Sacramento,CA,California,Sacramento,38.5677,-121.4685,"Sacramento, CA"
Austin,Austin,TX,Texas,Travis,30.3005,-97.7522,"Austin, TX"
Orlando,Orlando,FL,Florida,Orange,28.4773,-81.337,"Orlando, FL"
San Juan,San Juan,PR,Puerto Rico,San Juan,18.3985,-66.061,"San Juan, PR"
San Jose,San Jose,CA,California,Santa Clara,37.3012,-121.848,"San Jose, CA"
Pittsburgh,Pittsburgh,PA,Pennsylvania,Allegheny,40.4397,-79.9763,"Pittsburgh, PA"
Indianapolis,Indianapolis,IN,Indiana,Marion,39.7771,-86.1458,"Indianapolis, IN"
Manhattan,Manhattan,NY,New York,New York,40.7834,-73.9662,"Manhattan, NY"
Cincinnati,Cincinnati,OH,Ohio,Hamilton,39.1413,-84.506,"Cincinnati, OH"
Kansas City,Kansas City,MO,Missouri,Jackson,39.1238,-94.5541,"Kansas City, MO"
Cleveland,Cleveland,OH,Ohio,Cuyahoga,41.4764,-81.6805,"Cleveland, OH"
Columbus,Columbus,OH,Ohio,Franklin,39.9862,-82.9855,"Columbus, OH"
Bronx,Bronx,NY,New York,Bronx,40.8501,-73.8662,"Bronx, NY"
Virginia Beach,Virginia Beach,VA,Virginia,Virginia Beach,36.7335,-76.0435,"Virginia Beach, VA"
Charlotte,Charlotte,NC,North Carolina,Mecklenburg,35.2083,-80.8303,"Charlotte, NC"
Milwaukee,Milwaukee,WI,Wisconsin,Milwaukee,43.0642,-87.9675,"Milwaukee, WI"
Providence,Providence,RI,Rhode Island,Providence,41.823,-71.4187,"Providence, RI"
Jacksonville,Jacksonville,FL,Florida,Duval,30.3322,-81.6749,"Jacksonville, FL"
Nashville,Nashville,TN,Tennessee,Davidson,36.1715,-86.7842,"Nashville, TN"
